OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,TOWN_FIELD,TOWN_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
1567,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Teterboro borough,True,Teterboro borough, ,Teterboro borough,0.0724255441433954,0.000317304616983007
1568,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Ridgefield Park village,True,Ridgefield Park village, ,Ridgefield Park village,0.104828682649433,0.000512538684715746
1569,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Fort Lee borough,True,Fort Lee borough, ,Fort Lee borough,0.142373655018455,0.000691153734428041
1570,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,North Hempstead,True,North Hempstead, ,North Hempstead,0.990629187087216,0.0142212960579226
1571,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Wood-Ridge borough,True,Wood-Ridge borough, ,Wood-Ridge borough,0.0517436654350504,0.000106421134487963
1572,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Little Ferry borough,True,Little Ferry borough, ,Little Ferry borough,0.113307011297887,0.00041309493684793
1573,Land,Other States,NY,New York,CNTYCODE,60,Bronx,SWIS, Bronx,False, , , ,0.109132428759829,0.000118215164540738
1574,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Palisades Park borough,True,Palisades Park borough, ,Palisades Park borough,0.078471799266524,0.000352973278937006
1575,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,East Rutherford borough,True,East Rutherford borough, ,East Rutherford borough,0.110574128312634,0.000555663692348312
1576,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Moonachie borough,True,Moonachie borough, ,Moonachie borough,0.126468393381658,0.000446726462336012
1577,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Carlstadt borough,True,Carlstadt borough, ,Carlstadt borough,0.149582291166375,0.000992851630062436
1578,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Rutherford borough,True,Rutherford borough, ,Rutherford borough,0.0143313757862026,6.32618396801291e-06
1579,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Edgewater borough,True,Edgewater borough, ,Edgewater borough,0.151019600208431,0.000274544774329395
1580,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Ridgefield borough,True,Ridgefield borough, ,Ridgefield borough,0.162765503943513,0.000727327709036014
1581,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Southampton,False, , , ,0.0105805110587388,5.70581638907142e-06
1582,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Ridgefield Park village,True,Ridgefield Park village, ,Ridgefield Park village,0.000923190468259781,1.56003450242701e-08
1583,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Southampton,False, , , ,0.663647738728573,0.000823229572944239
1584,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Cliffside Park borough,True,Cliffside Park borough, ,Cliffside Park borough,0.085082592638727,0.000261689870968252
1585,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,South Hackensack township,True,South Hackensack township, ,South Hackensack township,0.0410609040408604,3.1376627700359e-05
1586,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Southampton,False, , , ,0.0250371896046935,2.69512304859927e-05
1587,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Fairview borough,True,Fairview borough, ,Fairview borough,0.0730114649648491,0.000238342213976528
1588,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Islip,True,Islip, ,Islip,1.02257526302007,0.0279345823838311
1589,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,North Bergen township,True,North Bergen township, ,North Bergen township,0.265420780402756,0.00145801018820882
1590,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Old Westbury,True,Old Westbury, ,Old Westbury,0.159773957442588,0.000808483932152543
1591,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,Secaucus town,True,Secaucus town, ,Secaucus town,0.205173051809937,0.00147985866160402
1592,Land,Other States,NY,New York,CNTYCODE,60,Bronx,SWIS, Bronx,False, , , ,0.0129003277373189,7.98642964837734e-06
1593,Land,Other States,NY,New York,CNTYCODE,62,New York,SWIS,Manhattan,False, , , ,0.0796499114944026,0.000230079059137542
1594,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,Guttenberg town,True,Guttenberg town, ,Guttenberg town,0.0473158491179256,5.2470916826989e-05
1595,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,True,Queens, ,Queens,1.16975827791003,0.0271579045512486
1596,Land,Other States,NY,New York,CNTYCODE,60,Bronx,SWIS, Bronx,False, , , ,0.0600091778102811,0.000174476760479703
1597,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,West New York town,True,West New York town, ,West New York town,0.0825329383374393,0.000277998163015821
1598,Land,Other States,NY,New York,CNTYCODE,60,Bronx,SWIS, Bronx,False, , , ,0.00634959282193906,2.53100829926679e-06
1599,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,Kearny town,True,Kearny town, ,Kearny town,0.0244510708488068,3.47926564552817e-05
1600,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,Union City city,True,Union City city, ,Union City city,0.104108495363402,0.000346649782691957
1601,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,Weehawken township,True,Weehawken township, ,Weehawken township,0.106279007177353,0.00022449318334715
1602,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Babylon,True,Babylon, ,Babylon,0.590915229443755,0.0124223223000408
1603,Land,Other States,NY,New York,CNTYCODE,62,New York,SWIS,Manhattan,True,Manhattan, ,Manhattan,0.0655638476840697,6.40031380373371e-05
1604,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Brookhaven,False, , , ,0.0774708797421325,0.00010039221590676
1605,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,Jersey City city,True,Jersey City city, ,Jersey City city,0.475338261240709,0.0030101947956594
1606,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Brookhaven,False, , , ,0.0183874892206932,1.428852593989e-05
1607,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Brookhaven,False, , , ,0.984047962569009,0.00159911544075556
1608,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,Hoboken city,True,Hoboken city, ,Hoboken city,0.122215578299648,0.000347218078837512
1609,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Mineola,True,Mineola, ,Mineola,0.113078658763468,0.00051310445652088
1610,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,True,Hempstead, ,Hempstead,1.39392939225208,0.0292122094282835
1611,Land,Other States,NY,New York,CNTYCODE,61,Kings,SWIS,Brooklyn,True,Brooklyn, ,Brooklyn,1.60901995694048,0.0188784902124775
1612,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Brookhaven,False, , , ,0.0156790667893213,1.10175066378539e-05
1613,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Brookhaven,False, , , ,0.00782914469310317,2.79864311892871e-06
1614,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,Jersey City city,False, , , ,0.0204601718239433,1.23431915051104e-05
1615,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,Bayonne city,True,Bayonne city, ,Bayonne city,0.0732149494976624,7.16414201215321e-05
1616,Land,Other States,NY,New York,CNTYCODE,62,New York,SWIS,Manhattan,False, , , ,0.052108020692089,7.78195132045845e-05
1617,Land,Other States,NJ,New Jersey,FIPSCO,17,Hudson,KEY,Jersey City city,False, , , ,0.0102226743248831,6.25380111165516e-06
1618,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Islip,False, , , ,0.0797553103196267,0.000242998218677566
1619,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Islip,False, , , ,0.0288646479892304,3.78568435440638e-05
1620,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Islip,False, , , ,0.00602249560173639,1.90024279245209e-06
1621,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Islip,False, , , ,0.0626105630268742,6.26444587647556e-05
1622,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Babylon,False, , , ,0.0715020692764237,0.000222690716905754
1623,Land,Other States,NY,New York,CNTYCODE,64,Richmond,SWIS,Staten Island,True,Staten Island, ,Staten Island,0.27525696008571,0.00105117489093324
1624,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Islip,False, , , ,0.274025678964438,0.000565923027976853
1625,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0879635871331493,0.000164570073560436
1626,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,False, , , ,0.00714472094415666,1.89402830331821e-06
1627,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Babylon,False, , , ,0.438460670772845,0.000915996209870696
1628,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,False, , , ,0.0105574484664679,4.17578218022431e-06
1629,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0142380458613234,1.27861292693638e-05
1630,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,False, , , ,0.0171992725013183,1.04876079679184e-05
1631,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0172639739169082,1.25273156579639e-05
1632,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.192585406917043,0.00044819400520139
1633,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Islip,False, , , ,0.0407173274279981,7.28947247762911e-05
1634,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0203451833995186,1.70443691151701e-05
1635,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0556128404786145,7.34814901724131e-05
1636,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Babylon,False, , , ,0.047782221582422,0.000115583000659529
1637,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0327704342782277,1.57149223148838e-05
1638,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0135041126642184,1.07583958475121e-05
1639,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0385882683684809,5.0576653820005e-05
1640,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,False, , , ,0.0233082144106094,2.93089451795533e-05
1641,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0525504290817007,5.68578759787524e-05
1642,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0208428620923568,9.10587752033588e-06
1643,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,False, , , ,0.0575609928079715,0.000121175007188043
1644,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0552878563560212,0.00013558776001057
1645,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Babylon,False, , , ,0.0419941179486731,5.30660037213571e-05
1646,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.00272969530389384,2.18487616793925e-07
1647,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.00188143363792456,1.44599395992606e-07
1648,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0155340062115212,6.1625396811808e-06
1649,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0364623946048995,3.3258894935089e-05
1650,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.00722011118981328,1.59488819975074e-06
1651,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.035443149872382,2.05228568613996e-05
1652,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0443184492601655,7.53621873036753e-05
